RANGES,STATUS,COUNTY,LOCAL_NAME,OBJECTID,SHAPELEN
R031 + E 1500 Ft,Critical Inlet,Sarasota,Lido Key,86,399.865643105725
V365.1 - V365.2,Critical,Monroe,Coco Plum Beach - West End,87,432.468780286066
V385 Bayside,Critical,Monroe,Bahai Honda State Park,88,265.246805436786
R128.5 - R147,Noncritical,Franklin,St. George State Park,89,5816.31193737885
R143 - R145,Noncritical,Sarasota,Caspersen Beach,90,625.257506770395
R065.2 - R070,Critical,Flagler,Beverly Beach,91,1437.61888257744
R001- R051.3,Critical,Indian River,Wabasso Beach,92,15278.3095824397
R070 - R086,Critical,Indian River,Vero Beach,93,4933.24167819783
R099 - R115.7,Critical,Indian River, ,94,5084.09277259816
R034 - R046,Critical,St. Lucie,South of Ft. Pierce Inlet,95,3683.93410339332
R046 - R080,Noncritical,St. Lucie,North Hutchinson Island,96,10222.0272112706
R080 - R090.3,Critical,St. Lucie,Power Plant Area,97,3080.73643612762
R090.3 - R098,Noncritical,St. Lucie,The Narrows of Hutchinson Is.,98,2348.14222490155
R098 - R115,Critical,St. Lucie,South Hutchinson Island,99,5377.87918582318
R001 - R037.6,Critical,Martin,Hutchinson Island,100,10753.7601670886
R045 - R111,Critical,Martin,Hobe Sound NWR,101,18187.447372333
R126 - R127.4,Critical,Martin,Blowing Rocks,102,397.066359670296
R067.3 - R068.3,Critical,Walton,Alligator Like,103,1548.05006605741
R082 - R098,Critical,Walton,Seagrove Beach,104,6193.83719189976
R122 - R124,Critical,Walton,Inlet Beach,105,7297.12098275534
V360.6 - V361.2,Critical,Monroe,Little Crawl Key,106,1487.76273680896
R017- R025.5,Critical,Okaloosa,Destin (West),107,2831.12636753502
R069 - R106,Critical,Gulf,St. Joseph Peninsula State Park,108,11721.7696233667
V334 -V339,Critical,Franklin,St. Vincent Island,109,1465.38026186804
R106 - R128.5,Critical,Franklin,St. George Island State Park,110,7352.81782360536
V323 - V331.4,Critical,Collier,Kice Island,111,2478.15169925541
V333.8 - V341.8,Critical,Collier,Morgan Island,112,2684.2055120613
V341.9 - V343.5,Noncritical,Collier,Morgan Island,113,717.462426311406
V381,Critical,Monroe,Little Duck Key,114,364.756361972427
V345.8 - V346.2,Critical,Monroe,Sea Oats Beach,115,979.238381780612
R084 - R094,Critical,St. Johns,South Ponte Vedra Beach,116,10380.0659223684
 ,Critical Inlet,Lee,Boca Grande N Shore,117,638.385344360003
R014 - R016.3,Critical,Collier,North of Wiggins Pass,118,682.039073795328
Pier - R002,Critical,Manatee,Northend of Anna Maria Island,119,464.670617306234
V001 - V002,Critical,Manatee,Passage Key,120,597.638476012146
R106 - R111.5,Critical,Gulf,Stump Hole and Lighthouse,121,1739.65789257668
R220 - R222,Critical,Franklin,East Alligator Point,122,726.96020556689
 ,Critical Inlet,Charlotte,Southside Stump Pass,123,562.103259539009
V365 - V390,Critical,Brevard,Canaveral National Shoreline,124,6486.33150355995
R123 - R128,Critical,St. Johns,Anastasia SP,125,1888.78467799971
V303 - V308,Noncritical,Collier,Sea Oat Island,126,1504.04634639749
V313 - V316,Critical Inlet,Collier,Big Marco Pass,127,1270.13835606076
R022.3 - R030.5,Critical,Collier,Vanderbilt Beach Estates,128,2527.20469373002
R050.6 - R057.5,Critical,Collier,North of Doctor's Pass,129,3870.83430501623
R057.5 - R089,Critical,Collier,South of Doctor's Pass,130,9101.55762172767
R090 - R111,Noncritical,Collier,Keewaydin Island,131,6310.82893249257
R134.5 - R139,Critical,Collier,Marco Island,132,1198.07211834873
R143 - R148,Critical,Collier,Marco Island,133,1668.84518257711
R211 - R213,Noncritical Inlet,Lee,Lover's Key,134,539.607329710114
R214 - R222,Critical,Lee,Lover's Key,135,2483.59860908896
R222,Noncritical Inlet,Lee,"New Pass, North Shore",136,191.238459045245
R222.7 - R225.9,Critical,Lee,Big Hickory Island,137,1069.25311894409
R226 - R230,Critical,Lee,Little Hickory Island,138,1228.58408344343
R027 - R033,Noncritical,Lee,Cayo Costa Island,139,1762.33916389468
R046 - R052,Noncritical,Lee,Cayo Costa Island,140,1848.11251216877
R060 - R065,Noncritical,Lee,Cayo Costa Island,141,1655.32641667404
R066 + East 1000 Ft,Critical Inlet,Lee,North Captiva Island,142,338.124526207044
R066 - R071,Critical,Lee,North Captiva Island,143,1662.81499355295
R071 - R078,Noncritical,Lee,North Captiva Island,144,3245.35721081622
R079 - R082.3,Critical,Lee,North Captiva Island,145,1385.9993433259
R109 - R118,Critical,Lee,Sanibel Island,146,2630.13494011216
R129 - R133,Critical,Lee,Sanibel Island,147,1249.39125259146
R007 - R026.7,Critical,Lee,Gasparilla Island,148,6213.0669141667
R175.4 - R200,Critical,Lee,Estero Island,149,7981.85014823024
R084 - R109,Critical,Lee,Captiva Island,150,8008.75089225896
R083 - R084,Critical Inlet,Lee,Captiva Island,151,405.155959989696
 ,Noncritical,Levy,Seahorse Key,152,2096.42342920728
 ,Critical,Levy,Atsena Otie Key,153,729.90133876339
V304 - V318,Critical,Levy,Cedar Key,154,905.246417168061
V303 - V317,Critical,Wakulla,Mashes Sands S,155,885.36108700824
V321 - V336,Noncritical,Wakulla,Mashes Sands N,156,976.363500658406
V341 - V365,Critical,Wakulla,Shell Point,157,1625.66419962622
 ,Noncritical Inlet,Franklin,Sikes Cut West,158,508.8463983378
 ,Noncritical Inlet,Franklin,Sikes Cut East,159,568.144417218731
R015 - R018.5,Noncritical,Franklin,Cape St. George,160,1109.40698631034
R018.5 - R022.5,Critical,Franklin,Cape St. George,161,1050.92535513102
R022.5 - R024,Noncritical,Franklin,Cape St. George,162,512.802426332964
R053 - R069,Noncritical,Franklin,St George Island Plantation,163,5360.94863012831
R154 - R168,Noncritical,Franklin,Dog Island,164,4230.98092784259
R168 - R187.2,Critical,Franklin,Dog Island,165,5794.7518948215
R194 - R196,Noncritical,Franklin,Alligator Point,166,732.947123319555
R210 - R225,Critical,Franklin,Alligator Point,167,1885.43725073617
R225 - R232,Noncritical,Franklin,St Teresa Island,168,3488.75433535695
R034 - R051,Noncritical,Franklin,St. George Island,169,5321.89308320503
R041 - R069,Noncritical,Gulf,St Joseph Peninsula,170,8869.37272952743
R111.5 - R114,Noncritical,Gulf,Cape San Blas,171,396.728138941076
R150 - R162,Noncritical,Gulf,Indian Peninsula,172,3911.96684046378
R001 - R097,Critical,Bay,St Andrews State Recreation Area,173,30249.683718306
R098 - V309,Noncritical,Bay,Shell Island,174,9813.3379175719
R132 - R137.8,Critical,Bay,Mexico Beach,175,1806.96425431597
 ,Critical Inlet,Okaloosa,Norriego Point,176,1603.09182333268
R192.5 - R213.5,Critical,Santa Rosa,Navarre Beach,177,6366.42096897335
R034 - R065,Noncritical,Escambia,Gulf Islands National Seashore,178,9771.20022592784
R079 - R107,Noncritical,Escambia,Gulf Islands National Seashore,179,8482.94383552277
R107 - R151,Critical,Escambia,Pensacola Beach,180,13179.5330581953
R001 - R017,Critical,Charlotte,Manasota Key,181,4953.60636807393
R017 - R021.2,Critical,Charlotte,Manasota Key,182,1317.33400308091
R028 - R040.5,Critical,Charlotte,"Knight Island, Bocilla Island",183,3656.06717207027
R047.5 - R049.5,Critical,Charlotte,Little Gasparilla Island,184,605.303125629209
R001 - R029,Critical,Sarasota,Longboat Key,185,8778.02725362631
R031 - R044.5,Critical,Sarasota,Lido Key,186,4069.87106877638
R044.5 - R045,Critical Inlet,Sarasota,Big Sarasota Pass,187,648.36366174509
