BICYCLE THEFT,"January 2, 2017","638 Nw 13Th St, Boca Raton, Florida"
BICYCLE THEFT,"January 3, 2017","903 E Boca Raton Rd, Boca Raton, Florida"
BICYCLE THEFT,"January 12, 2017","4950 Technology Way, Boca Raton, Florida"
BICYCLE THEFT,"January 13, 2017","225 Ne Mizner Blvd, Boca Raton, Florida"
BICYCLE THEFT,"January 16, 2017","2202 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"January 16, 2017","3100 S Dixie Hwy, Boca Raton, Florida"
BICYCLE THEFT,"January 16, 2017","6000 W Glades Rd, Boca Raton, Florida"
BICYCLE THEFT,"January 17, 2017","100 Plaza Real S, Boca Raton, Florida"
BICYCLE THEFT,"January 23, 2017","300 Plaza Real, Boca Raton, Florida"
BICYCLE THEFT,"January 24, 2017","1056 Nw 7Th St, Boca Raton, Florida"
BICYCLE THEFT,"January 29, 2017","499 Ne Spanish River Blvd, Boca Raton, Florida"
BICYCLE THEFT,"January 30, 2017","1150 Nw 13Th St, Boca Raton, Florida"
BICYCLE THEFT,"January 30, 2017","499 Ne Spanish River Blvd, Boca Raton, Florida"
BICYCLE THEFT,"January 30, 2017","500 Ne Spanish River Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 1, 2017","2501 S Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 2, 2017","400 Nw 2Nd Ave, Boca Raton, Florida"
BICYCLE THEFT,"February 10, 2017","1001 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"February 10, 2017","373 Nw 4Th Diag, Boca Raton, Florida"
BICYCLE THEFT,"February 10, 2017","2 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 12, 2017","200 Ne 14Th St, Boca Raton, Florida"
BICYCLE THEFT,"February 13, 2017","234 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"February 20, 2017","2871 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 21, 2017","2871 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 22, 2017","2871 N Ocean Blvd, Boca Raton, Florida"
BICYCLE THEFT,"February 22, 2017","450 Sw 2Nd Ave, Boca Raton, Florida"
BICYCLE THEFT,"February 23, 2017","202 W Yamato Rd, Boca Raton, Florida"
BICYCLE THEFT,"February 25, 2017","1001 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"February 26, 2017","2501 Nw 32Nd St, Boca Raton, Florida"
BICYCLE THEFT,"February 26, 2017","402 Plaza Real, Boca Raton, Florida"
BICYCLE THEFT,"February 27, 2017","1030 Cypress Way, Boca Raton, Florida"
BICYCLE THEFT,"March 4, 2017","20 Royal Palm Way, Boca Raton, Florida"
BICYCLE THEFT,"March 6, 2017","301 Kingsbridge St, Boca Raton, Florida"
